Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike02,640,re3,0.4,0.1,0.0027,1.0,1.0,1.0,0.0,0.8148,1,0,0,1.0,0.0,14.25,0,0,98,0,0,98,99.0,98
Bike03,640,re3,0.4,0.1,0.0143,1.0,1.0,0.7865,0.2111,0.6532,1,0,0,0.99,0.0,14.75,19,0,70,0,0,70,90.0,70
Bike04,640,re3,0.4,0.1,0.0024,1.0,1.0,1.0,0.0,0.7527,1,0,0,1.0,0.0,14.63,0,0,94,0,0,94,95.0,94
Bike05,640,re3,0.4,0.1,0.0075,1.0,1.0,1.0,0.0,0.7611,1,0,0,1.0,0.0,14.69,0,0,157,0,0,157,158.0,157
Bike07,640,re3,0.4,0.1,0.0058,1.0,1.0,0.973,0.0267,0.6696,1,0,0,0.92,0.0,14.66,2,0,72,0,0,72,75.0,72
Bike08,640,re3,0.4,0.1,0.0205,1.0,1.0,0.9964,0.0036,0.5842,1,0,0,0.94,0.0,13.03,2,0,556,0,0,556,559.0,556
Bike09,640,re3,0.4,0.1,0.3431,0.4218,0.4218,0.328,0.6705,0.2799,0,1,0,0.41,0.58,13.56,97,196,143,0,0,339,437.0,339
Ski01,640,re3,0.4,0.1,0.003,1.0,1.0,1.0,0.0,0.6765,1,0,0,0.94,0.0,11.21,0,0,1352,0,0,1352,1353.0,1352
Ski02,640,re3,0.4,0.1,0.0024,1.0,1.0,1.0,0.0,0.7803,1,0,0,1.0,0.0,14.66,0,0,601,0,0,601,602.0,601
Ski03,640,re3,0.4,0.1,0.0036,1.0,1.0,1.0,0.0,0.7229,1,0,0,1.0,0.0,14.6,0,0,1113,0,0,1113,1114.0,1113
Ski04,640,re3,0.4,0.1,0.0138,1.0,1.0,1.0,0.0,0.482,0,1,0,0.66,0.0,14.48,0,0,253,0,0,253,254.0,253
Snowboard01,640,re3,0.4,0.1,0.0093,1.0,1.0,1.0,0.0,0.6035,1,0,0,0.94,0.0,14.5,0,0,112,0,0,112,113.0,112
Sup01,640,re3,0.4,0.1,0.0036,1.0,1.0,0.9812,0.0188,0.7511,1,0,0,1.0,0.0,14.77,7,0,365,0,0,365,373.0,365
Surf01,640,re3,0.4,0.1,0.2696,0.175,0.175,0.1521,0.8468,0.0989,0,0,1,0.13,0.82,12.18,105,575,122,0,0,697,803.0,697
Wake01,640,re3,0.4,0.1,0.0181,0.9801,0.9801,0.9801,0.0198,0.4981,0,1,0,0.67,0.02,12.98,0,15,740,0,0,755,756.0,755
Car01,640,re3,0.4,0.1,0.0076,1.0,1.0,1.0,0.0,0.8545,1,0,0,1.0,0.0,14.03,0,0,156,0,0,156,157.0,156
Human01,640,re3,0.4,0.1,0.0054,1.0,1.0,0.7975,0.2,0.7086,1,0,0,0.98,0.0,13.75,16,0,63,0,0,63,80.0,63
Slalom01,640,re3,0.4,0.1,0.1314,0.4242,0.4242,0.4242,0.57,0.1473,0,1,0,0.22,0.58,14.02,0,57,42,0,0,99,100.0,99
