frame,x1,y1,w,h
1.0,870.0,660.0,69.0,139.0
2.0,871.0,660.0,69.0,150.0
3.0,871.0,661.0,72.0,152.0
4.0,869.0,661.0,73.0,167.0
5.0,869.0,664.0,73.0,144.0
6.0,871.0,661.0,72.0,166.0
7.0,873.0,661.0,72.0,147.0
8.0,875.0,663.0,73.0,153.0
9.0,876.0,662.0,75.0,165.0
10.0,881.0,663.0,69.0,155.0
11.0,882.0,664.0,72.0,142.0
12.0,887.0,666.0,71.0,133.0
13.0,890.0,666.0,69.0,112.0
14.0,895.0,667.0,65.0,114.0
15.0,897.0,669.0,68.0,131.0
16.0,901.0,667.0,66.0,142.0
17.0,903.0,667.0,65.0,135.0
18.0,906.0,664.0,69.0,167.0
19.0,908.0,665.0,72.0,147.0
20.0,907.0,667.0,79.0,161.0
21.0,909.0,669.0,75.0,151.0
22.0,910.0,670.0,75.0,126.0
23.0,913.0,672.0,71.0,139.0
24.0,917.0,673.0,71.0,133.0
25.0,928.0,670.0,64.0,112.0
26.0,936.0,670.0,57.0,87.0
27.0,926.0,670.0,68.0,122.0
28.0,922.0,669.0,72.0,142.0
29.0,922.0,667.0,73.0,154.0
30.0,927.0,670.0,68.0,135.0
31.0,925.0,667.0,72.0,143.0
32.0,925.0,666.0,73.0,148.0
33.0,925.0,666.0,76.0,160.0
34.0,929.0,667.0,73.0,154.0
35.0,927.0,664.0,77.0,153.0
36.0,929.0,665.0,75.0,140.0
37.0,929.0,665.0,77.0,141.0
38.0,930.0,662.0,78.0,163.0
39.0,931.0,663.0,77.0,152.0
40.0,928.0,660.0,84.0,157.0
41.0,928.0,661.0,84.0,141.0
42.0,929.0,661.0,86.0,142.0
43.0,932.0,662.0,85.0,146.0
44.0,935.0,663.0,82.0,152.0
45.0,936.0,663.0,80.0,152.0
46.0,937.0,662.0,80.0,152.0
47.0,939.0,662.0,78.0,147.0
48.0,940.0,662.0,79.0,152.0
49.0,945.0,658.0,69.0,157.0
50.0,943.0,651.0,72.0,173.0
51.0,949.0,654.0,66.0,167.0
52.0,944.0,656.0,75.0,158.0
53.0,980.0,646.0,43.0,109.0
54.0,953.0,650.0,69.0,190.0
55.0,956.0,642.0,69.0,142.0
56.0,954.0,644.0,71.0,161.0
57.0,955.0,643.0,73.0,154.0
58.0,955.0,644.0,72.0,155.0
59.0,956.0,647.0,72.0,142.0
60.0,955.0,646.0,76.0,143.0
61.0,956.0,646.0,73.0,139.0
62.0,956.0,645.0,73.0,128.0
