frame;x1;y1;w;h
1;0.246875;0.006944444444444444;0.0234375;0.07222222222222223
2;0.24921875;0.005555555555555557;0.02421875;0.07916666666666666
3;0.24765625;0.006944444444444444;0.02890625;0.0763888888888889
4;0.25;0.009722222222222222;0.0265625;0.07777777777777778
5;0.25234375;0.0125;0.028125;0.07777777777777778
6;0.2546875;0.016666666666666666;0.0265625;0.07222222222222223
7;0.2546875;0.018055555555555557;0.02890625;0.07083333333333333
8;0.25731383;0.021276596;0.025930851;0.072104019
9;0.259375;0.026388888888888892;0.0296875;0.07361111111111111
10;0.2609375;0.026388888888888892;0.02734375;0.06944444444444445
11;0.26640625;0.03333333333333333;0.0296875;0.06805555555555555
12;0.265625;0.03333333333333333;0.03125;0.07083333333333333
13;0.26640625;0.030555555555555555;0.03359375;0.08194444444444443
14;0.27421875;0.031944444444444435;0.0328125;0.08055555555555556
15;0.2796875;0.03333333333333333;0.03046875;0.08055555555555556
16;0.27890625;0.031944444444444435;0.0390625;0.08055555555555556
17;0.284574468;0.031914894;0.030585106;0.072104019
18;0.28203125;0.022222222222222227;0.040625;0.09583333333333334
19;0.28671875;0.018055555555555557;0.040625;0.09583333333333334
20;0.29375;0.018055555555555557;0.03984375;0.08611111111111111
21;0.29296875;0.0125;0.04296875;0.10694444444444444
22;0.29921875;0.008333333333333333;0.04609375;0.11388888888888887
23;0.30390625;0.013888888888888888;0.0453125;0.10694444444444444
24;0.31171875;0.018055555555555557;0.046875;0.10694444444444444
25;0.3171875;0.018055555555555557;0.04453125;0.1125
26;0.326462766;0.026004728;0.026595745;0.101654846
27;0.33125;0.026388888888888892;0.03515625;0.12361111111111113
28;0.340625;0.03888888888888889;0.0296875;0.10138888888888888
29;0.34453125;0.04861111111111111;0.0296875;0.10277777777777776
30;0.35239361700000005;0.055555556;0.021276596;0.101654846
31;0.35704787200000004;0.062647754;0.023271277000000003;0.104018913
32;0.36037234;0.069739953;0.02393617;0.104018913
33;0.3640625;0.07916666666666666;0.0296875;0.09583333333333334
34;0.371675532;0.087470449;0.029255319;0.104018913
35;0.373670213;0.08865248199999999;0.029255319;0.117021277
36;0.3796875;0.09444444444444444;0.0265625;0.11944444444444445
37;0.3859375;0.09861111111111112;0.0265625;0.12083333333333332
38;0.38984375;0.1111111111111111;0.028125;0.11805555555555555
39;0.39453125;0.12083333333333332;0.03203125;0.125
40;0.39765625;0.125;0.02578125;0.12638888888888888
41;0.404255319;0.151300236;0.024601064;0.115839243
42;0.408909574;0.174940898;0.021941489;0.09929078
43;0.412234043;0.193853428;0.026595745;0.106382979
44;0.4109375;0.20416666666666666;0.03671875;0.10138888888888888
45;0.41875;0.21944444444444444;0.03203125;0.10694444444444444
46;0.425;0.2305555555555556;0.03203125;0.11666666666666667
47;0.43125;0.24027777777777776;0.0296875;0.12361111111111113
48;0.43828125;0.26666666666666666;0.03203125;0.11666666666666667
49;0.4453125;0.2875;0.0296875;0.11388888888888887
50;0.452792553;0.30969267100000003;0.021276596;0.113475177
51;0.458111702;0.33569740000000003;0.019946809;0.106382979
52;0.46143617;0.35933806100000004;0.019946809;0.098108747
53;0.46484375;0.3763888888888889;0.028125;0.10833333333333334
54;0.465625;0.4013888888888889;0.0328125;0.10694444444444444
55;0.474069149;0.430260047;0.024601064;0.095744681
56;0.478058511;0.452718676;0.025265957;0.08628841599999999
57;0.482712766;0.477541371;0.025265957;0.095744681
58;0.484375;0.4986111111111111;0.0328125;0.10277777777777776
59;0.490691489;0.533096927;0.037898936;0.098108747
60;0.494680851;0.544917258;0.025930851;0.089834515
61;0.496875;0.575;0.03515625;0.1111111111111111
62;0.5046875;0.6013888888888889;0.0203125;0.0763888888888889
63;0.50703125;0.6319444444444444;0.015625;0.04305555555555556
